Original_region,Original_state,Original_site,Reference_where_data_were_collated,Website_of_source_of_collated_data,Primary_reference_of_dataset,Pub_page_Number,Original_crop,Original_crop_component,Year_sowing,Number_years_data,Sites_years,Number_values,N_pc,"	
Nitrogen_to_protein_factor",Protein_pc,P_mg_kg_DM,K_mg_kg_DM,S_mg_kg_DM,Ca_mg_kg_DM,Mg_mg_kg_DM,Na_mg_kg_DM,Fe_mg_kg_DM,Mn_mg_kg_DM,B_mg_kg_DM,Cu_mg_kg_DM,Zn_mg_kg_DM,Al_mg_kg_DM,N_pc_sd,P_mg_kg_DM_sd,K_mg_kg_DM_sd,S_mg_kg_DM_sd,Ca_mg_kg_DM_sd,Mg_mg_kg_DM_sd,Na_mg_kg_DM_sd,Fe_mg_kg_DM_sd,Mn_mg_kg_DM_sd,B_mg_kg_DM_sd,Cu_mg_kg_DM_sd,Zn_mg_kg_DM_sd,Al_mg_kg_DM_sd
Australia,New South Wales,South East,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,4,8,3.13,5.7,17.841,3613,5075,1963,466,1261,7.1,42.1,57.6,1.6,3.9,23,3.5,0.15,202,217,70,29,37,6,2.2,3.6,0.3,0.4,2.4,1.3
Australia,New South Wales,South West,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,4,8,2.52,5.7,14.364,2678,4238,1709,408,1173,7.6,39.5,54.4,1.7,4.1,23.5,5.1,0.15,202,217,70,29,37,6,2.2,3.6,0.3,0.4,2.4,1.3
Australia,South Australia,Lower EP,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,6,12,2.17,5.7,12.369,3075,4533,1492,343,1223,38.7,30.3,25.3,2.3,4.4,18.7,1.6,0.12,165,177,57,24,30,4.9,1.8,3,0.3,0.3,2,1.1
Australia,South Australia,Mid North,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,7,14,2.67,5.7,15.219,3900,4686,1803,460,1359,21,39.1,51.1,1.3,5.6,25.4,3.1,0.11,153,164,53,22,28,4.5,1.6,2.7,0.3,0.3,1.8,1
Australia,South Australia,Murray Mallee,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,9,18,2.79,5.7,15.903,3467,4533,1789,424,1349,23.7,40.1,38.9,1.9,5.2,19.2,7.6,0.1,135,145,47,19,25,4,1.4,2.4,0.2,0.2,1.6,0.9
Australia,South Australia,South East,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,5,10,2.45,5.7,13.965,3620,4870,1780,488,1295,29.3,35.9,26.8,1.5,3.5,24.5,1.1,0.12,181,194,63,26,33,5.3,1.9,3.2,0.3,0.3,2.2,1.2
Australia,South Australia,Upper EP,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,12,24,2.78,5.7,15.846,3117,4758,1778,419,1237,47.6,35.9,49.3,2.4,4.9,26,5.5,0.08,117,125,41,17,22,3.4,1.2,2.1,0.2,0.2,1.4,0.8
Australia,South Australia,Yorke Penn.,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,6,12,2.4,5.7,13.68,3083,4433,1650,411,1202,35,31.3,41.8,1.8,5.6,22.2,3,0.12,165,177,57,24,30,4.9,1.8,3,0.3,0.3,2,1.1
Australia,Victoria,Mallee,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,8,16,2.42,5.7,13.794,3088,4256,1662,396,1291,12.5,34.9,36.8,3.4,5.1,18.9,4.5,0.1,143,154,50,21,26,4.2,1.5,2.6,0.2,0.3,1.7,1
Australia,Victoria,North Central,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,2,4,2.42,5.7,13.794,2900,4250,1793,348,1293,9.6,41,55.8,1.7,4.7,25.5,3.4,0.21,286,307,99,41,53,8.4,3,5.1,0.5,0.5,3.4,1.9
Australia,Victoria,North East,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,2,4,2.75,5.7,15.675,2950,4275,1933,380,1230,6.3,44.3,53.3,1.4,5.1,28.8,5.1,0.21,286,307,99,41,53,8.4,3,5.1,0.5,0.5,3.4,1.9
Australia,Victoria,Wimmera,"Norton (2011) Grain Nutrient Concentrations – Report on a survey from 70 NVT wheat sites, International Plant Nutrition Institute, Australia p. 21 http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf",http://anz.ipni.net/ipniweb/region/anz.nsf/0/78FC941DDB64371485257AA00052C97A/$FILE/Grain%20Nutrient%20Concentrations.pdf,National Variety Trial data from the Australian Grains Research and Development Corportation (GRDC) https://nvt.grdc.com.au/about,3,Wheat,Crop_products,2008 and 2009,2,5,10,2.6,5.7,14.82,4110,5040,1733,470,1424,21.7,36.2,49.2,4.6,4.8,27.3,4.6,0.13,181,194,63,26,33,5.3,1.9,3.2,0.3,0.3,2.2,1.2
