"item","item_code","item_group_code","N_kg_per_t_fresh_wt","P_kg_per_t_fresh_wt","K_kg_per_t_fresh_wt","DM_pc","N_pc","P_pc","K_pc"
"Almonds, with shell",221,1714,38.9,10.9,70.5,NA,2.67,NA,NA
"Anise, badian, fennel, coriander",711,1714,8.75,1.31,15.77,NA,2.67,NA,NA
"Apples",515,1714,2.16666666666667,0.73,4.496,18,1.455,0.405555555555556,2.49777777777778
"Apricots",526,1714,3.73333333333333,0.704,2.158,NA,2.67,NA,NA
"Areca nuts",226,1714,7.84,NA,NA,NA,2.67,NA,NA
"Artichokes",366,1714,3.2,NA,NA,NA,2.67,NA,NA
"Asparagus",367,1714,4.78,0.872,4.15,NA,2.67,NA,NA
"Avocados",572,1714,2.7,0.872,NA,NA,2.67,NA,NA
"Bambara beans",203,1714,25.66,5.06,15.272,NA,4.21,NA,NA
"Bananas",486,1714,1.44,0.368,8.89,25.7,0.516,0.055,3.4591439688716
"Barley",44,1714,18.0333333333333,3.2,5.8,88.5,1.67613216666667,0.375,0.655367231638418
"Bastfibres, other",782,1714,4.27,1.1,3.32,NA,NA,NA,NA
"Beans, dry",176,1714,41.7866666666667,5.71,19.53,91,3.923928575,0.3856522,2.14615384615385
"Beans, green",414,1714,4.1,0.748,2.241,NA,4.05657895,0.49,NA
"Berries nes",558,1714,1.6,NA,NA,NA,2.67,NA,NA
"Blueberries",552,1714,1.06,0,0.83,NA,2.67,NA,NA
"Brazil nuts, with shell",216,1714,11.04,NA,NA,NA,2.67,NA,NA
"Broad beans, horse beans, dry",181,1714,30.22,5.06,15.272,NA,4.21,NA,NA
"Buckwheat",89,1714,17.3,2.2,3.7,NA,NA,NA,NA
"Cabbages and other brassicas",358,1714,3.79,0.4,3,NA,2.67,NA,NA
"Canary seed",101,1714,20.3,2.9,10.8,NA,NA,NA,NA
"Carobs",461,1714,2.56,NA,NA,NA,1.248,0.15,NA
"Carrots and turnips",426,1714,2.128,0.5108,2.29633333333333,NA,2.063,0.29,NA
"Cashew nuts, with shell",217,1714,12.32,NA,NA,NA,2.67,NA,NA
"Cashewapple",591,1714,1.28,NA,NA,NA,2.67,NA,NA
"Cassava",125,1714,2.744,3.284,2.623,32.6,0.2,0.04,0.804601226993865
"Castor oil seed",265,1714,14.4,NA,NA,NA,3.974,0.65,NA
"Cauliflowers and broccoli",393,1714,3.96666666666667,0.856,3.244,NA,2.67,NA,NA
"Cereals nes",108,1714,14.46,2.93333333333333,4.36666666666667,87.5,1.76,0.31,0.499047619047619
"Cherries",531,1714,1.76,NA,NA,NA,2.67,NA,NA
"Cherries, sour",530,1714,1.44,NA,NA,NA,2.67,NA,NA
"Chestnut",220,1714,2.88,NA,NA,NA,2.67,NA,NA
"Chick peas",191,1714,27.58,5.06,15.272,86,3.13582978,0.4054286,1.0375
"Chicory roots",459,1714,1.76,NA,NA,NA,2.67,NA,NA
"Chillies and peppers, dry",689,1714,11.6666666666667,1.205,9.545,NA,2.67,NA,NA
"Chillies and peppers, green",401,1714,2.22,0.548,2.1995,NA,2.67,NA,NA
"Cinnamon (cannella)",693,1714,11.62,1.31,15.77,NA,2.67,NA,NA
"Cloves",698,1714,18.8666666666667,3.955,17.845,NA,2.67,NA,NA
"Cocoa, beans",661,1714,23.1666666666667,6.03,35.69,NA,NA,NA,NA
"Coconuts",249,1714,19.06,3.818,6.56,89.6,0.2,0.04,0.732142857142857
"Coffee, green",656,1714,23.18,3.50333333333333,17.4966666666667,100,2.4,0.22,1.74966666666667
"Cow peas, dry",195,1714,30.22,5.06,15.272,58.515,4.1005,0.42,2.60992907801418
"Cranberries",554,1714,0.64,NA,NA,NA,2.67,NA,NA
"Cucumbers and gherkins",397,1714,1.53333333333333,0.46,1.577,NA,2.67,NA,NA
"Currants",550,1714,2.24,NA,NA,NA,2.67,NA,NA
"Dates",577,1714,2.4,NA,NA,NA,1.631,0.27,NA
"Eggplants (aubergines)",399,1714,2.81333333333333,0.768,2.905,NA,2.67,NA,NA
"Fibre crops nes",821,1714,4.27,1.1,3.32,100,8.1,0.95,0.332
"Figs",569,1714,3.04,NA,NA,NA,2.67,NA,NA
"Flax fibre and tow",773,1714,13.768,3.466,6.4175,91,4.16,0.380879120879121,0.70521978021978
"Fonio",94,1714,12.8,2.2,4.15,NA,1.36,0.21,NA
"Fruit, citrus nes",512,1714,1.53333333333333,0.318,2.395,10.3,0.57,0.105,2.3252427184466
"Fruit, fresh nes",619,1714,1.93333333333333,0.43,1.996,13.1,1.385,0.01,1.5236641221374
"Fruit, pome nes",542,1714,3,0.66,1.992,NA,2.67,NA,NA
"Fruit, stone nes",541,1714,2.22,0.66,1.992,NA,2.67,NA,NA
"Fruit, tropical fresh nes",603,1714,2.76,0.66,1.992,NA,1.719,0.13,NA
"Garlic",406,1714,6.4,0.88,2.656,NA,2.67,NA,NA
"Ginger",720,1714,15.78,1.31,15.77,NA,2.67,NA,NA
"Gooseberries",549,1714,1.44,NA,NA,NA,2.67,NA,NA
"Grapefruit (inc. pomelos)",507,1714,1.8,NA,NA,NA,1.12,0.16,NA
"Grapes",560,1714,3.6,0.7,5.4,15,2.263,0.27,3.6
"Groundnuts, with shell",242,1714,33.56,6,8.2,94.1,4.33666666666667,0.42,0.871413390010627
"Gums, natural",839,1714,147.5,NA,NA,NA,NA,NA,NA
"Hazelnuts, with shell",225,1714,5.3,0.436,1.66,NA,2.67,NA,NA
"Hemp tow waste",777,1714,3.14,1.1,3.32,NA,NA,NA,NA
"Hempseed",336,1714,35.2,NA,NA,NA,3.93466666666667,0.46,NA
"Hops",677,1714,18.5,1.31,15.77,NA,3.856,0.61,NA
"Jojoba seed",277,1714,NA,NA,NA,NA,3.34,NA,NA
"Jute",780,1714,2.66,1.1,3.32,NA,NA,NA,NA
"Karite nuts (sheanuts)",263,1714,10.88,NA,NA,NA,2.358,0.1,NA
"Kiwi fruit",592,1714,1.44,NA,NA,NA,2.67,NA,NA
"Kola nuts",224,1714,14.4,NA,NA,NA,2.67,NA,NA
"Leeks, other alliaceous vegetables",407,1714,3.05,0.88,2.656,NA,2.67,NA,NA
"Lemons and limes",497,1714,1.8,NA,NA,NA,1.808,NA,NA
"Lentils",201,1714,35.86,4.36,15.77,86,4.185,0.506976744186047,1.83372093023256
"Lettuce and chicory",372,1714,2.41333333333333,0.436,2.93,NA,2.67,NA,NA
"Linseed",333,1714,28.8,NA,NA,NA,3.566,0.63,NA
"Lupins",210,1714,43.5,5.06,15.272,88,5.546,0.575,1.73545454545455
"Maize",56,1714,12.416,3.4,4.25,87.5,1.62950065,0.2938512,0.485714285714286
"Maize, green",446,1714,3.6,0.768,2.795,20,2.67,0.384,1.3975
"Mangoes, mangosteens, guavas",571,1714,3.04666666666667,0.612,3.818,NA,1.771,0.1,NA
"Manila fibre (abaca)",809,1714,2.9,1.1,3.32,NA,NA,NA,NA
"Melonseed",299,1714,29.12,NA,NA,NA,3.34,NA,NA
"Millet",79,1714,20.355,4.17866666666667,5.43866666666667,87.5,1.74725715,0.31344155,0.621561904761905
"Mushrooms and truffles",449,1714,9.28,NA,NA,NA,2.67,NA,NA
"Mustard seed",292,1714,39.84,NA,NA,NA,3.542,0.6,NA
"Nutmeg, mace and cardamoms",702,1714,13.14,1.31,15.77,NA,2.67,NA,NA
"Nuts nes",234,1714,11.2,NA,NA,NA,2.67,NA,NA
"Oats",75,1714,21.6,3.616,4.525,89,2.08,0.406292134831461,0.508426966292135
"Oil palm fruit",254,1714,3.645,0.7,4.1,NA,2.43,0.34,NA
"Oilseeds nes",339,1714,13.0742857142857,4.58,21.726,NA,3.34,NA,NA
"Okra",430,1714,2.82,0.548,3.0295,NA,2.67,NA,NA
"Olives",260,1714,7.3,11.336,9.96,35,2.67,3.23885714285714,2.84571428571429
"Onions, dry",403,1714,2.58666666666667,0.658,2.158,NA,2.67,NA,NA
"Onions, shallots, green",402,1714,2.57333333333333,0.548,1.826,NA,2.67,NA,NA
"Oranges",490,1714,3.1,0.4,4.6,NA,1.184,0.23,NA
"Papayas",600,1714,59.82,17.876,144.42,NA,2.67,NA,NA
"Peaches and nectarines",534,1714,2.2,0.436,3.32,18,2.67,0.242222222222222,1.84444444444444
"Pears",521,1714,1.77,0.4,2.6,18,2.67,0.222222222222222,1.44444444444444
"Peas, dry",187,1714,38,8.7,9.8,NA,4.21,NA,NA
"Peas, green",417,1714,16.7,3.3,9.96,44.11,2.891,0.2926,1.0624
"Pepper (piper spp.)",687,1714,9.8,1.31,15.77,NA,2.67,NA,NA
"Peppermint",748,1714,11.5,1.31,15.77,NA,2.67,NA,NA
"Persimmons",587,1714,0.96,NA,NA,NA,2.67,NA,NA
"Pigeon peas",197,1714,NA,NA,NA,NA,4,NA,NA
"Pineapples",574,1714,1.04,0.198,1.411,NA,2.67,NA,NA
"Pistachios",223,1714,16.48,NA,NA,NA,2.67,NA,NA
"Plantains and others",489,1714,3.32666666666667,0.268,5.02,65.3,1.17,0.16,0.768759571209801
"Plums and sloes",536,1714,2.4,NA,NA,NA,2.67,NA,NA
"Poppy seed",296,1714,28.8,NA,NA,NA,3.59,0.98,NA
"Potatoes",116,1714,2.536,1,6.15,21.6,0.87,0.05,2.84722222222222
"Pulses nes",211,1714,26.0666666666667,4.23,13.186,85,3.432911775,0.265333333333333,1.66
"Pumpkins, squash and gourds",394,1714,2.66666666666667,0.442,3.247,NA,2.495,0.26,NA
"Pyrethrum, dried",754,1714,13.5,1.31,15.77,NA,2.112,0.24,NA
"Quinces",523,1714,0.32,NA,NA,NA,2.67,NA,NA
"Quinoa",92,1714,19.2,NA,NA,NA,2.432,0.41,NA
"Ramie",788,1714,4.02,1.1,3.32,NA,NA,NA,NA
"Rapeseed",270,1714,31.36,5.8695,NA,91,3.466,0.645,NA
"Raspberries",547,1714,1.44,NA,NA,NA,2.67,NA,NA
"Rice, paddy",27,1714,12.9,2.83333333333333,2.96333333333333,88.5,1.297,0.27,0.334839924670433
"Roots and tubers nes",149,1714,4.365,0.3,2.9,27,0.742,0.18,1.07407407407407
"Rubber, natural",836,1714,7.23333333333333,1.254,4.375,100,0,0,0.4375
"Rye",71,1714,21.3,3.6,4.6,88,1.944,0.35,0.522727272727273
"Safflower seed",280,1714,30.0733333333333,5.394,19.236,NA,2.692,NA,NA
"Seed cotton",328,1714,55.75,11.336,31.52,NA,3.34,NA,NA
"Sesame seed",289,1714,25.74,5.118,9.6665,94,3.396,0.59,1.02835106382979
"Sisal",789,1714,5,1.1,3.32,NA,NA,NA,NA
"Sorghum",83,1714,14.5533333333333,4.45,4.15,87,1.716,0.315,0.477011494252874
"Soybeans",236,1714,59.3,8.05,18.3,88,6.2265,0.555,2.07954545454546
"Spices nes",723,1714,12.66,0.985,8.8395,NA,NA,NA,NA
"Spinach",373,1714,4.02,0.636,3.735,NA,2.67,NA,NA
"Strawberries",544,1714,5.48,1.744,8.3,NA,2.67,NA,NA
"String beans",423,1714,2.98,0.748,2.241,NA,4.21,NA,NA
"Sugar beet",157,1714,2.09333333333333,0.514,2.297,26,0.669333333333333,0.135,0.883461538461539
"Sugar cane",156,1714,4.744,0.313333333333333,1.34266666666667,23.2,0.22,0.04,0.578735632183908
"Sugar crops nes",161,1714,0,NA,NA,NA,1.04,0.24,NA
"Sunflower seed",267,1714,23.56,3.85,6.5,92,2.854,0.525,0.706521739130435
"Sweet potatoes",122,1714,3.405,0.776,6.86,27.2,0.59,0.09,2.52205882352941
"Tallowtree seed",305,1714,NA,NA,NA,NA,3.34,NA,NA
"Tangerines, mandarins, clementines, satsumas",495,1714,1.9,0.44,1.328,NA,1.264,NA,NA
"Taro (cocoyam)",136,1714,3.7,1.1,3.32,NA,0.864,0.44,NA
"Tea",667,1714,18.8,2.555,14.585,52.5,7.8,1.5,2.77809523809524
"Tobacco, unmanufactured",826,1714,41.75,6.6,47.7466666666667,21,0.3,0.06,22.7365079365079
"Tomatoes",388,1714,1.35,0.2,2.4,NA,2.671,NA,NA
"Triticale",97,1714,17.28,2.86,4.15,89,1.872,0.39,0.466292134831461
"Tung nuts",275,1714,48,NA,NA,NA,3.34,NA,NA
"Vanilla",692,1714,8.5,1.31,15.77,NA,2.67,NA,NA
"Vegetables, fresh nes",463,1714,5.62,0.9,2.6,7,1.435,0.03,3.71428571428571
"Vegetables, leguminous nes",420,1714,4.9,1.1,3.32,86,4.2342304,0.5433824,0.386046511627907
"Vetches",205,1714,33.4666666666667,3.96,17.372,NA,4.345,NA,NA
"Walnuts, with shell",222,1714,22.12,4.36,9.96,NA,2.67,NA,NA
"Watermelons",567,1714,1.8,NA,NA,NA,2.67,NA,NA
"Wheat",15,1714,20.94,4.2,5.2,88.6666666666667,2.052,0.35,0.586466165413534
"Yams",137,1714,2.08,NA,NA,NA,1.232,NA,NA
"Yautia (cocoyam)",135,1714,3.86,1.1,3.32,NA,NA,NA,NA
